month,aapl_return,msft_return,spy_return,cpi,unemployment,interest_rate,vix,target,predicted_prob_up,predicted_direction
2018-06-01,0.018019222853369078,0.039143013393073904,0.021350457134770424,251.018,4.0,1.82,13.678095238095239,1,0.6655986815412,1
2018-07-01,0.008959766603800967,0.0405388889806084,0.015545500011825777,251.214,3.8,1.91,13.147619047619049,1,0.6524058225903762,1
2018-08-01,0.12380712127916413,0.04092669994390169,0.024456478871939694,251.663,3.8,1.91,12.54695652173913,1,0.6488560334760529,1
2018-09-01,0.041983646367532386,0.03441699180101443,0.01702601882665961,252.182,3.7,1.95,12.910526315789474,0,0.643509858867819,1
2018-10-01,-0.005529872797073052,-0.02700072715592824,-0.03897229422506309,252.772,3.8,2.19,19.35217391304348,0,0.683497592669213,1
2018-11-01,-0.13184009787848866,-0.015074184498403675,-0.020747124300412756,252.594,3.8,2.2,19.38904761904762,0,0.6844047284965893,1
2018-12-01,-0.1402490939461546,-0.025255463122524947,-0.055122073992140516,252.767,3.9,2.27,24.953157894736844,1,0.7139112244132428,1
2019-01-01,-0.06148625821325885,-0.002475699685367416,0.01718574523769109,252.561,4.0,2.4,19.57238095238095,1,0.7051381939459589,1
2019-02-01,0.11743646378903075,0.038094770641252176,0.058172667484873875,253.319,3.8,2.4,15.234736842105262,1,0.6735080498488456,1
2019-03-01,0.06854898015476046,0.06959406389010003,0.019780597769704162,254.277,3.8,2.41,14.485238095238095,1,0.668622788853948,1
2019-04-01,0.09396048327498566,0.0665394736888943,0.03691585459550496,255.233,3.7,2.42,12.949047619047619,0,0.653592659692935,1
2019-05-01,-0.04368291966226488,0.031001361838600416,-0.015400384516417892,255.296,3.6,2.39,16.721818181818183,1,0.6606742230600464,1
2019-06-01,0.010195533486675937,0.04645303684896854,0.014397419945258312,255.213,3.6,2.38,15.836000000000002,1,0.6569303334550795,1
2019-07-01,0.06346806859117901,0.04628037652019826,0.03803380696515206,255.802,3.7,2.4,13.305909090909092,0,0.6529270181389681,1
2019-08-01,0.0015200443660419204,-0.010558301814577469,-0.03132195145607579,256.036,3.6,2.13,18.97909090909091,1,0.6585254673509491,1
2019-09-01,0.06468676454916153,0.014130259337741334,0.031015304224236092,256.43,3.5,2.04,15.559000000000001,0,0.6331074372229275,1
2019-10-01,0.0793207026703788,0.008063016439683218,-0.00029510891712262733,257.155,3.6,1.83,15.466521739130435,1,0.6301548154042856,1
2019-11-01,0.11844230862342092,0.06497187488128581,0.04431240926976689,257.879,3.6,1.55,12.5235,1,0.6050987960921502,1
2019-12-01,0.053966482201224526,0.04335896628285977,0.02491466894923916,258.63,3.6,1.55,13.756666666666666,1,0.6084646251415806,1
2020-01-01,0.12798253087831807,0.06368880273915464,0.033220320589399686,259.127,3.6,1.55,13.94095238095238,1,0.6079828989137034,1
2020-02-01,-0.00021178993627248813,0.09096860644665923,0.001216824219929494,259.25,3.5,1.58,19.628947368421052,0,0.6256959044909283,1
2020-03-01,-0.15643141167164418,-0.14502206508888862,-0.18954775513086672,258.076,4.4,0.65,57.73681818181819,1,0.792166644533581,1
2020-04-01,0.03788268479450171,0.10806282602185972,0.04413032427066184,256.032,14.8,0.05,41.453809523809525,1,0.9848937504570602,1
2020-05-01,0.14037992079602282,0.0797524630197088,0.058981112475173465,255.802,13.2,0.05,30.897000000000002,1,0.9705924913861015,1
2020-06-01,0.11627802822765197,0.058707735210608056,0.06511941123194886,257.042,11.0,0.08,31.119545454545456,1,0.9434115714504119,1
2020-07-01,0.10543076149005867,0.07462870204055738,0.03462784676450398,258.352,10.2,0.09,26.840454545454545,1,0.9225569345588631,1
2020-08-01,0.22923370135686075,0.0362158401461748,0.05860733459232108,259.316,8.4,0.1,22.88952380952381,0,0.8632687284556185,1
2020-09-01,-0.018220709286506032,-0.02455104043103255,-0.006340401923434033,259.997,7.8,0.09,27.64761904761905,1,0.8499560464253614,1
2020-10-01,0.011187387661056852,0.019555457110842056,0.017063980806090576,260.319,6.9,0.09,29.438636363636363,1,0.8153897278509759,1
2020-11-01,0.004941688931640064,0.006910632955004034,0.03941856872329643,260.911,6.7,0.09,24.9955,1,0.7920805318037383,1
2020-12-01,0.08993704646869402,0.019463213708458414,0.0426376796080317,262.045,6.7,0.09,22.37409090909091,1,0.7821464168454532,1
2021-01-01,0.045143919508715234,0.018407118999748638,0.027761653482938912,262.639,6.4,0.09,24.91,1,0.7729252673610095,1
2021-02-01,-0.010156772102392082,0.08253628017241053,0.024599959373541508,263.573,6.2,0.08,23.140526315789476,1,0.7539448961152965,1
2021-03-01,-0.07314540389017704,-0.025317636565896032,0.008537914261911334,264.847,6.1,0.07,21.84304347826087,1,0.7408327722925924,1
2021-04-01,0.08157418492009028,0.09374438022612591,0.060065450994453186,266.625,6.1,0.07,17.416190476190476,1,0.7214451466515879,1
2021-05-01,-0.036851619105678635,-0.03112530094069802,0.007425426519151734,268.404,5.8,0.06,19.7605,1,0.7069340495429416,1
2021-06-01,0.02539506287113605,0.04842517954885122,0.018211539900581043,270.71,5.9,0.08,16.956818181818182,1,0.6983554497522259,1
2021-07-01,0.1168132253856419,0.08680547115736845,0.03061171200799051,271.965,5.4,0.1,17.603333333333335,1,0.6652253089420804,1
2021-08-01,0.022187206803273185,0.046440925398935406,0.02166359042863102,272.752,5.1,0.09,17.472727272727273,0,0.6414641695593809,1
2021-09-01,0.001136638984470936,0.009732670789699912,-0.0006724350863165002,273.942,4.7,0.08,19.824761904761903,1,0.6192207228719516,1
2021-10-01,-0.018491436069705543,0.022460988970149993,0.00434223439204819,276.528,4.5,0.08,17.871428571428574,1,0.589449403782424,1
2021-11-01,0.06097157884361558,0.10737566678862996,0.04728872644335225,278.824,4.1,0.08,18.50047619047619,1,0.5560107131478166,1
2021-12-01,0.12540200024499346,-0.008088483833660287,0.0030051297551916796,280.806,3.9,0.08,21.354545454545455,0,0.5481837878917472,1
2022-01-01,-0.021268578164829233,-0.07231123408799597,-0.0207765463073059,282.542,4.0,0.08,23.181,0,0.5593135385754465,1
2022-02-01,0.0008817042799853439,-0.03160635585927768,-0.029185887723119947,284.525,3.9,0.08,25.748421052631578,0,0.5578406136162879,1
2022-03-01,-0.026411338235959904,-0.008772057720774051,-0.008542849458088723,287.467,3.7,0.2,26.968695652173913,1,0.5450170324459815,1
2022-04-01,0.009137742598558983,-0.02346262909142746,0.0009539677633810474,288.582,3.7,0.33,24.3735,0,0.5356993581083397,1
2022-05-01,-0.10920228113814975,-0.07555270613502041,-0.07875267146165571,291.299,3.6,0.77,29.313636363636363,0,0.56051768365968,1
2022-06-01,-0.05787060969995209,-0.025793609153027777,-0.03340287016659036,295.072,3.6,1.21,28.23318181818182,1,0.5633496973115464,1
2022-07-01,0.07061536982655717,0.010460349625554585,0.00458858098841352,294.94,3.5,1.68,24.995238095238093,1,0.5605587731466549,1
2022-08-01,0.11630256622990547,0.07105232616813303,0.06448594690116723,295.162,3.6,2.33,22.169565217391302,0,0.5809332571183273,1
2022-09-01,-0.08296855487805752,-0.11610911373472833,-0.07247471204208814,296.421,3.5,2.56,27.34181818181818,0,0.6017019001648042,1
2022-10-01,-0.052218144185762906,-0.04307839125384256,-0.031035281617555335,297.979,3.6,3.08,30.005714285714287,1,0.6362154652562144,1
2022-11-01,0.007155273605698651,0.0023800693075502147,0.05263148988473129,298.708,3.6,3.78,23.29909090909091,1,0.632793600246505,1
2022-12-01,-0.05440260596606196,0.036747907414979554,0.00025207176578996197,298.808,3.5,4.1,21.784285714285716,1,0.6311186306495676,1
2023-01-01,-0.015214066388545073,-0.03403878604636571,0.013533808433595845,300.456,3.5,4.33,20.16904761904762,1,0.628930136163246,1
2023-02-01,0.11293903921972002,0.0957481007897379,0.03135737994388976,301.476,3.6,4.57,20.1205,0,0.6423570078918188,1
2023-03-01,0.027050059037828145,0.02850192581319579,-0.025360505619748865,301.643,3.5,4.65,21.644347826086957,1,0.644134158242556,1
2023-04-01,0.06505354957336933,0.08209577424355177,0.03967313309415788,302.858,3.4,4.83,17.817894736842106,1,0.624784225104248,1
2023-05-01,0.04676905581366593,0.09073316024243647,0.007202968194854036,303.316,3.6,5.06,17.63608695652174,1,0.6458254298704115,1
2023-06-01,0.06814701866777513,0.06531340676801063,0.049715380016783196,304.099,3.6,5.08,14.003181818181817,1,0.6295477250985069,1
2023-07-01,0.04410686864757314,0.02100801383950879,0.038357935839570076,304.615,3.5,5.12,13.932380952380951,0,0.62225185498474,1
2023-08-01,-0.05805124367472857,-0.04930550632655238,-0.010088361431969733,306.138,3.7,5.33,15.85391304347826,0,0.6486439218299064,1
2023-09-01,-0.02207134807870576,0.00581078104708686,-0.00931503972059631,307.374,3.7,5.33,15.173333333333332,0,0.6428105325986623,1
2023-10-01,-0.013185490238080824,0.008895417229002582,-0.03088910862752577,307.653,3.9,5.33,18.887727272727272,1,0.6710730620818995,1
2023-11-01,0.06513516430967145,0.1210121776601963,0.046037137279316756,308.087,3.7,5.33,14.01909090909091,1,0.6362633522755736,1
2023-12-01,0.045788664655244796,0.01243643128029475,0.052017670476506385,308.735,3.8,5.33,12.7185,1,0.6363807944733284,1
2024-01-01,-0.03388539733438765,0.04528446486933583,0.026339660391768237,309.794,3.7,5.33,13.388636363636364,1,0.6293730541665732,1
2024-02-01,-0.014835204138739186,0.05124804549770948,0.04419397013881554,311.022,3.9,5.33,13.980476190476189,1,0.643060027919229,1
2024-03-01,-0.06500775338115962,0.019910908757042926,0.03314055534198505,312.107,3.9,5.33,13.7875,0,0.6395833404755655,1
2024-04-01,-0.017903942086010968,-0.008459566422529848,-0.010415997015551825,313.016,3.9,5.33,16.137727272727275,1,0.6470386170993895,1
2024-05-01,0.09938723014568324,0.011353199915490062,0.02520359942252558,313.14,3.9,5.33,13.058695652173913,1,0.6339889576221184,1
2024-06-01,0.10769996767841712,0.05066866828841709,0.03566949975242938,313.131,4.1,5.33,12.667,1,0.646595396519439,1
2024-07-01,0.0888936212981104,0.015962368973201493,0.023554224362846373,313.566,4.2,5.33,14.373913043478263,0,0.6594767718358038,1
2024-08-01,-0.012388855500451913,-0.07274833708060055,-0.009902518376889899,314.131,4.2,5.33,19.312272727272727,1,0.6777980262034686,1
2024-09-01,0.009922098239786452,0.029195985162115495,0.027446868366974003,314.851,4.1,5.13,17.663333333333334,1,0.6554302135306402,1
2024-10-01,0.02814686642998241,-0.010556010141609555,0.03135133048101504,315.564,4.1,4.83,19.960869565217394,1,0.6520235035368832,1
2024-11-01,-0.008939057056423479,-0.0013502402695029358,0.024617979577474414,316.449,4.2,4.64,16.015238095238097,1,0.633560226203866,1
2024-12-01,0.09472627815945905,0.05033563464336719,0.014871845665003644,317.603,4.1,4.48,15.866190476190477,0,0.6167182843319262,1
2025-01-01,-0.059103497732215675,-0.02504745920425774,-0.0043286867568841005,319.086,4.0,4.33,16.763636363636365,1,0.6036428413729359,1
2025-02-01,0.017571904744641854,-0.04671971780381676,0.010923484943166924,319.775,4.2,4.33,16.968,0,0.6174241169986638,1
2025-03-01,-0.06602773752541403,-0.048876033120616696,-0.05767553035428872,319.615,4.2,4.33,21.841428571428573,0,0.6382901873143294,1
2025-04-01,-0.09662672371635067,-0.024296615954763193,-0.05430123206980632,320.321,4.2,4.33,31.966190476190473,1,0.6775149917192307,1
2025-05-01,0.014627603787730368,0.1859839606171382,0.08305764594619344,320.58,4.3,4.33,20.46227272727273,1,0.6372951779402996,1
2025-06-01,-0.015708464487725178,0.06877679309433295,0.03910622142791856,321.5,4.1,4.33,18.403333333333336,1,0.6118450091157516,1
2025-07-01,0.052945626663962596,0.057973577153640855,0.04514873005245082,322.132,4.3,4.33,16.381304347826084,1,0.616241811211151,1
2025-08-01,0.06414437409849034,0.020378147770508462,0.01866597430371524,323.364,4.3,4.33,15.75,1,0.6104146295505768,1
2025-09-01,0.07973903222611552,-0.015142229524125382,0.02853921652619984,324.368,4.4,4.22,15.789090909090909,1,0.6111071196758503,1
2025-11-01,0.05248139679819534,-0.04627849265030608,0.0015751418726717109,325.031,4.5,3.88,19.7695,1,0.6205905317155911,1
2025-12-01,0.017374612169859516,-0.024771147726716763,0.017726540199611503,326.03,4.4,3.72,15.548181818181819,1,0.5862871402400258,1
